datetime,Tgrounddaily_Lapse4,Tgrounddaily_Lapse6,Tgrounddaily_Lapse7
2015-10-14,,,
2015-10-15,,,
2015-10-16,,,
2015-10-17,,,
2015-10-18,,,
2015-10-19,,,
2015-10-20,,,
2015-10-21,,,
2015-10-22,,,
2015-10-23,,,
2015-10-24,,,
2015-10-25,,,
2015-10-26,,,
2015-10-27,,,
2015-10-28,,,
2015-10-29,,,
2015-10-30,,,
2015-10-31,,,
2015-11-01,,,
2015-11-02,,,
2015-11-03,,,
2015-11-04,,,
2015-11-05,,,
2015-11-06,,,
2015-11-07,,,
2015-11-08,,,
2015-11-09,,,
2015-11-10,,,
2015-11-11,,,
2015-11-12,,,
2015-11-13,,,
2015-11-14,,,
2015-11-15,,,
2015-11-16,,,
2015-11-17,,,
2015-11-18,,,
2015-11-19,,,
2015-11-20,,,
2015-11-21,,,
2015-11-22,,,
2015-11-23,,,
2015-11-24,,,
2015-11-25,,,
2015-11-26,,,
2015-11-27,,,
2015-11-28,,,
2015-11-29,,,
2015-11-30,,,
2015-12-01,,,
2015-12-02,,,
2015-12-03,,,
2015-12-04,1.75,0.5,0.5
2015-12-05,1.0,0.5,0.5
2015-12-06,0.9375,0.5,0.5
2015-12-07,1.1875,0.5,0.5
2015-12-08,1.5,0.5,0.5
2015-12-09,1.4375,0.5,0.5
2015-12-10,1.5,0.5,0.5
2015-12-11,1.5625,0.5,0.5
2015-12-12,2.0,0.5,0.5
2015-12-13,2.0,0.5,0.5
2015-12-14,2.0,0.5,0.5
2015-12-15,2.0,0.5,0.5
2015-12-16,2.0,0.5,0.5
2015-12-17,2.0,0.5,0.5
2015-12-18,0.875,0.5,0.5
2015-12-19,1.5,0.5,0.5
2015-12-20,2.0,0.5,0.5
2015-12-21,2.0,0.5,0.5
2015-12-22,2.0,0.5,0.5
2015-12-23,2.0,0.5,0.5
2015-12-24,2.0,0.5,0.5
2015-12-25,2.0,0.5,0.5
2015-12-26,2.0,0.5,0.5
2015-12-27,2.0,0.5,0.5
2015-12-28,2.0,0.5,0.5
2015-12-29,2.0,0.5,0.5
2015-12-30,2.0,0.5,0.5
2015-12-31,2.0,0.5,0.5
2016-01-01,2.0,0.5,0.5
2016-01-02,2.0,0.5,0.5
2016-01-03,2.0,0.5,0.5
2016-01-04,2.0,0.5,0.5
2016-01-05,1.0,0.5,0.5
2016-01-06,1.0625,0.5,0.5
2016-01-07,1.5,0.5,0.5
2016-01-08,1.75,0.5,0.5
2016-01-09,2.0,0.5,0.5
2016-01-10,2.0,0.5,0.5
2016-01-11,1.4375,0.5,0.5
2016-01-12,0.5,0.5,0.5
2016-01-13,0.5,0.5,0.5
2016-01-14,1.125,0.5,0.5
2016-01-15,1.5,0.5,0.5
2016-01-16,0.75,0.5,0.5
2016-01-17,0.5,0.5,0.5
2016-01-18,0.5,0.5,0.5
2016-01-19,0.875,0.5,0.5
2016-01-20,1.4375,0.5,0.5
2016-01-21,1.375,0.3125,0.5
2016-01-22,1.0,0.0,0.5
2016-01-23,1.1875,0.0,0.5
2016-01-24,1.5,0.0,0.5
2016-01-25,1.5,0.0,0.5
2016-01-26,0.875,0.0,0.5
2016-01-27,0.9375,0.0,0.5
2016-01-28,1.75,0.0,0.5
2016-01-29,1.1875,0.0,0.5
2016-01-30,1.5,0.0,0.5
2016-01-31,1.5,0.0,0.5
2016-02-01,1.5,0.0,0.5
2016-02-02,1.5,0.0,0.5
